City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tuktoyaktuk,69.4541,-133.0374,-15.77,95,25,1.58,CA,1667296656
84,sorong,-0.8833,131.25,28.73,76,84,3.99,ID,1667296657
85,yumen,40.2833,97.2,10.54,22,70,8.89,CN,1667296659
86,kapaa,22.0752,-159.319,25.06,83,31,1.79,US,1667296660
87,vestmannaeyjar,63.4427,-20.2734,6.55,93,40,5.14,IS,1667296662
88,juba,4.8517,31.5825,35.24,33,26,2.06,SS,1667296663
89,eureka,40.8021,-124.1637,12.89,92,100,0.89,US,1667296665
90,dire dawa,9.5931,41.8661,29.06,19,4,4.68,ET,1667296666
91,kalyazin,57.2403,37.8433,1.16,77,98,3.83,RU,1667296667
92,itoman,26.1247,127.6694,22.21,88,75,8.23,JP,1667296667
93,airai,-8.9266,125.4092,18.62,91,100,0.13,TL,1667296668
94,kodiak,57.79,-152.4072,-2.18,63,8,3.4,US,1667296669
95,tshikapa,-6.4167,20.8,30.65,54,89,2.02,CD,1667296670
96,thompson,55.7435,-97.8558,-4.91,74,100,5.14,CA,1667296671
97,bredasdorp,-34.5322,20.0403,21.64,47,18,11.52,ZA,1667296671
98,nuuk,64.1835,-51.7216,-7.19,83,80,3.34,GL,1667296672
99,meulaboh,4.1363,96.1285,25.91,87,100,3.59,ID,1667296673
100,salalah,17.0151,54.0924,28.17,59,16,3.82,OM,1667296674
101,bonthe,7.5264,-12.505,28.89,68,66,0.9,SL,1667296676
102,matara,5.9485,80.5353,27.08,82,85,6.73,LK,1667296677
103,mount gambier,-37.8333,140.7667,6.88,78,79,6.29,AU,1667296678
104,baruun-urt,46.6806,113.2792,-3.78,50,90,3.53,MN,1667296678
105,ornskoldsvik,63.2909,18.7153,5.53,100,62,1.54,SE,1667296694
106,port lincoln,-34.7333,135.8667,11.94,55,25,10.22,AU,1667296695
107,falam,22.9167,93.6833,20.59,74,57,1.13,MM,1667296697
108,provideniya,64.3833,-173.3,-1.15,96,100,14.11,RU,1667296698
109,nhulunbuy,-12.2333,136.7667,30.34,74,51,4.12,AU,1667296700
110,jam sahib,26.2958,68.6292,37.17,19,0,5.22,PK,1667296703
111,alofi,-19.0595,-169.9187,23.94,100,100,1.54,NU,1667296703
112,chuy,-33.6971,-53.4616,9.71,66,91,3.48,UY,1667296705
113,charters towers,-20.1,146.2667,28.37,57,55,1.15,AU,1667296705
114,saint george,37.1041,-113.5841,14.64,29,100,1.77,US,1667296706
115,ushuaia,-54.8,-68.3,4.81,70,0,9.26,AR,1667296707
116,bengkulu,-3.8004,102.2655,26.25,84,91,1.22,ID,1667296708
117,bethel,41.3712,-73.414,15.11,88,100,0.45,US,1667296701
118,mahebourg,-20.4081,57.7,26.81,65,40,5.66,MU,1667296709
119,abong mbang,3.9833,13.1833,25.24,84,74,1.63,CM,1667296711
120,ostrovnoy,68.0531,39.5131,1.35,83,100,5.22,RU,1667296712
121,vila franca do campo,37.7167,-25.4333,17.23,75,86,3.27,PT,1667296712
122,pozoblanco,38.3791,-4.8483,18.64,59,1,0.71,ES,1667296714
123,shambu,9.5667,37.1,18.53,53,47,0.49,ET,1667296715
124,mehamn,71.0357,27.8492,3.97,87,75,8.75,NO,1667296715
125,tilichiki,60.4667,166.1,-17.93,87,4,5.13,RU,1667296716
